cmtnwyp4a0002fwg0mmh03k0z | openai | gpt-5.6-luna | plan-episodes | 2 | 0.011205 | 5574 | 8710 | 2784 | 97658 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | plan-chapter-forms | 2 | 0.016168000000000002 | 18022 | 10741 | 5331 | 89238 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | plan-developmental-edit | 1 | 0.025596 | 94777 | 1585 | 0 | 11657 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | review-chapter-evidence | 82 | 0.46620400000000006 | 1501303 | 75742 | 0 | 673811 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | rewrite-couplets | 15 | 0.013852 | 11285 | 9664 | 0 | 114988 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | compose-chapter | 25 | 0.20028399999999996 | 313915 | 101505 | 0 | 1189417 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | describe-pages | 30 | 0.07891600000000001 | 157402 | 35289 | 12078 | 300248 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | edit-chapter | 49 | 0.6628650000000003 | 1639670 | 210795 | 0 | 1408729 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | plan-chapter-forms | 2 | 0.015167 | 19108 | 9819 | 6056 | 78135 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | plan-developmental-edit | 1 | 0.025476 | 92727 | 1912 | 0 | 22823 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | review-chapter-evidence | 68 | 0.3689909999999999 | 1215538 | 54263 | 0 | 516920 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | rewrite-couplets | 15 | 0.012279000000000002 | 11291 | 8350 | 0 | 87735 | 0
cmto0eefi00009tg0holrwr5y | openai | gpt-5.6-luna | rewrite-developmental-sections | 3 | 0.034465 | 123256 | 3043 | 0 | 45252 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | build-case-evidence | 28 | 0.030319000000000002 | 35687 | 18079 | 0 | 176756 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | develop-book-plan | 3 | 0.045381000000000005 | 55669 | 26220 | 0 | 210346 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | extract-excerpts | 18 | 0.054687 | 172443 | 9650 | 0 | 98129 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | plan-episodes | 1 | 0.005618 | 2787 | 4635 | 2784 | 45312 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | review-book-development | 1 | 0.006431 | 20938 | 997 | 0 | 11360 | 0
cmto0menm0000hjg029nvbrau | openai | gpt-5.6-luna | verify-case-evidence | 27 | 0.04757 | 65011 | 26103 | 0 | 335363 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | build-case-evidence | 33 | 0.03685699999999999 | 49338 | 20731 | 0 | 220749 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | compose-chapter | 24 | 0.196643 | 304599 | 100413 | 0 | 985520 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | describe-pages | 30 | 0.075602 | 149517 | 33644 | 9332 | 321397 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | develop-book-plan | 6 | 0.062857 | 104883 | 30531 | 0 | 251395 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | edit-chapter | 57 | 0.7208300000000001 | 1780967 | 229664 | 0 | 1387983 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | extract-excerpts | 22 | 0.067403 | 218875 | 10572 | 0 | 115688 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | plan-chapter-forms | 2 | 0.016871999999999998 | 17165 | 10484 | 0 | 75943 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | plan-developmental-edit | 1 | 0.023399 | 85133 | 1763 | 0 | 12697 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | plan-episodes | 3 | 0.007701 | 4817 | 5986 | 2784 | 83414 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | review-book-development | 3 | 0.018029999999999997 | 57760 | 2991 | 0 | 28346 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | review-chapter-evidence | 79 | 0.415675 | 1321430 | 71109 | 0 | 576682 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | rewrite-couplets | 15 | 0.013061999999999999 | 11601 | 8951 | 0 | 85817 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | rewrite-developmental-sections | 5 | 0.042903000000000004 | 154556 | 3554 | 0 | 46098 | 0
cmto1586m0000syg0ez8pf9as | openai | gpt-5.6-luna | verify-case-evidence | 29 | 0.05113000000000001 | 73971 | 27202 | 0 | 301411 | 0
cmto1rmrp00lg2cp2h5mn6724 | openai | gpt-5.6-luna | select-cover-design | 1 | 0.000619 | 2275 | 42 | 0 | 1398 | 0
cmto28t9f01192cp2cspgbad0 | openai | gpt-5.6-luna | chapterize-export | 1 | 0.007935 | 28201 | 737 | 0 | 7723 | 0
cmto28t9f01192cp2cspgbad0 | openai | gpt-5.6-luna | review-manuscript-structure | 2 | 0.002444 | 7239 | 529 | 0 | 5292 | 0
cmto295h100056qp2kul0v1p8 | openai | gpt-5.6-luna | extract-voice-character-candidates | 18 | 0.022140999999999997 | 81331 | 1509 | 0 | 35847 | 0
cmto3sjcv0000k8g052hxry5n | openai | gpt-5.6-luna | describe-pages | 4 | 0.010685 | 20807 | 4570 | 0 | 42567 | 0
cmto3sjcv0000k8g052hxry5n | openai | gpt-5.6-luna | edit-chapter | 12 | 0.18834099999999998 | 587195 | 46991 | 0 | 306688 | 1
cmto3sjcv0000k8g052hxry5n | openai | gpt-5.6-luna | plan-developmental-edit | 1 | 0.025427 | 92727 | 1871 | 0 | 15355 | 0
cmto3sjcv0000k8g052hxry5n | openai | gpt-5.6-luna | review-chapter-evidence | 12 | 0.119277 | 426868 | 10467 | 0 | 88470 | 0
cmto3spgk00000zg006emuzp4 | openai | gpt-5.6-luna | describe-pages | 4 | 0.010054 | 19066 | 4407 | 0 | 41256 | 0
cmto3spgk00000zg006emuzp4 | openai | gpt-5.6-luna | edit-chapter | 12 | 0.16783399999999998 | 518820 | 43702 | 0 | 265480 | 1
cmto3spgk00000zg006emuzp4 | openai | gpt-5.6-luna | plan-developmental-edit | 1 | 0.023642 | 85133 | 1966 | 0 | 18029 | 0
cmto3spgk00000zg006emuzp4 | openai | gpt-5.6-luna | review-chapter-evidence | 11 | 0.093982 | 333609 | 8818 | 0 | 78537 | 0
cmto3spgk00000zg006emuzp4 | openai | gpt-5.6-luna | rewrite-developmental-sections | 6 | 0.049289 | 184661 | 2604 | 0 | 37618 | 0
